"filename", "language", "TypeScript", "Markdown", "JSON", "JSON with Comments", "HTML", "SCSS", "TypeScript JSX", "JavaScript", "Python", "XML", "comment", "blank", "total"
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\dishManager\DishManager.ts", "TypeScript", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 147
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\download\Download.scss", "SCSS", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 36, 15, 141
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\download\Download.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 12, 7, 90
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\errorInfoComponents\notSupported\NotSupportedNotice.scss", "SCSS", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\errorInfoComponents\notSupported\NotSupportedNotice.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\errorInfoComponents\rotateDevice\RotateDeviceNotice.scss", "SCSS", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 6, 32
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\errorInfoComponents\rotateDevice\RotateDeviceNotice.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 15, 56
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\errorInfoComponents\rotateDevice\RotateDeviceNoticeDownload.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 27
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\flavor-dragn-drop-list\FlavorDragNDropList.scss", "SCSS", 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 28, 31, 193
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\flavor-dragn-drop-list\FlavorDragNDropList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 6, 35
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\flavor-dragn-drop-list\FlavorDragNDropListItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 20, 30, 136
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\flavorSynth\CurrentDraggingReference.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\flavorSynth\CurrentPosimageInit.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 26
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\flavorSynth\ElementPlayer.ts", "TypeScript", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 126
