"filename", "language", "Markdown", "JSON with Comments", "HTML", "TypeScript", "JSON", "JavaScript", "Python", "SCSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\loading\LoadingAnimationDownloads.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\openShareDialog\OpenShareDialog.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 290, 0, 0, 55, 61, 406
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\openShareDialog\OpenShareDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 350, 0, 2, 59, 411
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\pixelDiv\PixelButton.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 6, 6, 40
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\pixelDiv\PixelButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 16, 10, 63
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\pixelDiv\PixelDiv.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\pixelDiv\PixelDiv.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 16, 10, 63
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\pixelDiv\PixelImage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 8, 43
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\pixelDiv\PixelLI.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 16, 10, 64
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\progressCanvas\ProgressCanvas.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 22, 80
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\restaurant\Restaurant.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 291, 0, 0, 0, 47, 338
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\restaurant\Restaurant.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 220, 0, 27, 56, 303
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\restaurant\RestaurantLoader.ts", "TypeScript", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 19, 20, 110
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\scroollingBackgroundImage\ScrollingBackgroundImage.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 5, 4, 43
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\scroollingBackgroundImage\ScrollingBackgroundImage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 3, 50
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\shareDialog\ShareDialog.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 452, 0, 0, 105, 102, 659
